Id,geoid,state,pctScience
0400000US01,1,Alabama,28.8
0400000US02,2,Alaska,39.9
0400000US04,4,Arizona,32.5
0400000US05,5,Arkansas,29.7
0400000US06,6,California,41.1
0400000US08,8,Colorado,39.3
0400000US09,9,Connecticut,36.1
0400000US10,10,Delaware,34.5
0400000US12,12,Florida,31.7
0400000US13,13,Georgia,32.7
0400000US15,15,Hawaii,34.8
0400000US16,16,Idaho,33.2
0400000US17,17,Illinois,32.6
0400000US18,18,Indiana,29
0400000US19,19,Iowa,30.1
0400000US20,20,Kansas,29.7
0400000US21,21,Kentucky,29.2
0400000US22,22,Louisiana,28.1
0400000US23,23,Maine,34.6
0400000US24,24,Maryland,41.1
0400000US25,25,Massachusetts,40.3
0400000US26,26,Michigan,33.5
0400000US27,27,Minnesota,34.4
0400000US28,28,Mississippi,25.5
0400000US29,29,Missouri,29.1
0400000US30,30,Montana,34.6
0400000US31,31,Nebraska,28.3
0400000US32,32,Nevada,32.6
0400000US33,33,New Hampshire,38.1
0400000US34,34,New Jersey,37.7
0400000US35,35,New Mexico,36.1
0400000US36,36,New York,34.3
0400000US37,37,North Carolina,34.3
0400000US38,38,North Dakota,28.4
0400000US39,39,Ohio,30.7
0400000US40,40,Oklahoma,28.1
0400000US41,41,Oregon,40.1
0400000US42,42,Pennsylvania,33.6
0400000US44,44,Rhode Island,33.9
0400000US45,45,South Carolina,30.9
0400000US46,46,South Dakota,28.2
0400000US47,47,Tennessee,29.8
0400000US48,48,Texas,35.1
0400000US49,49,Utah,32.4
0400000US50,50,Vermont,38.6
0400000US51,51,Virginia,40.3
0400000US53,53,Washington,42.1
0400000US54,54,West Virginia,28.2
0400000US55,55,Wisconsin,32.3
0400000US56,56,Wyoming,35.5